fullname,html,id,likes,replies,retweets,text,timestamp,url,user,action
City of Guelph,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Make your 3Things pledge to do 3 acts of service that benefit your community <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Guelph?src=hash""><s>#</s><b>Guelph</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/sXwx30cOLYl"" dir=""ltr"" href=""https://t.co/QIwyczD6k5"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/sXwx30cOLYl""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/sXwx30cOLYl</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fI3V1bd5Ri"">pic.twitter.com/fI3V1bd5Ri</a></p>",8.80E+17,14,0,16,Make your 3Things pledge to do 3 acts of service that benefit your community #Guelph #3thingsforcanada http://ow.ly/sXwx30cOLYl pic.twitter.com/fI3V1bd5Ri,2017-06-28T14:45:18,/cityofguelph/status/880074634602979329,cityofguelph,n
@Felker4Ward9,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The incrEDIBLES and their famous Poutine Perogies! $1400.00 raised for United Way <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.picmonkey.com/p/T6mfopWsfP8"" dir=""ltr"" href=""https://t.co/j4bXZEp25v"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.picmonkey.com/p/T6mfopWsfP8""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">picmonkey.com/p/T6mfopWsfP8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",8.80E+17,2,0,0,The incrEDIBLES and their famous Poutine Perogies! $1400.00 raised for United Way #3ThingsforCanada http://www.picmonkey.com/p/T6mfopWsfP8 ,2017-06-28T13:54:32,/felker4ward9/status/880061859344392193,felker4ward9,y
YMCA-YWCA of Guelph,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Lets go beyond celebrating & lets give back for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforCanada?src=hash""><s>#</s><b><strong>3thingsforCanada</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Guelphproud?src=hash""><s>#</s><b>Guelphproud</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GuelphY?src=hash""><s>#</s><b>GuelphY</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2sYCABn"" dir=""ltr"" href=""https://t.co/2oW7EvLXxR"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2sYCABn""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2sYCABn</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/kERXzeFVAs"">pic.twitter.com/kERXzeFVAs</a></p>",8.80E+17,6,0,6,Lets go beyond celebrating & lets give back for #Canada150 #3thingsforCanada #Guelphproud #GuelphY http://bit.ly/2sYCABn pic.twitter.com/kERXzeFVAs,2017-06-27T20:06:58,/YGuelph/status/879793197588910081,YGuelph,n
Stikeman Elliott LLP,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The firm expresses its gratitude <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/a4dAK8Zzwh"">pic.twitter.com/a4dAK8Zzwh</a></p>",8.80E+17,3,0,0,The firm expresses its gratitude #3ThingsforCanada #Canada150pic.twitter.com/a4dAK8Zzwh,2017-06-27T19:41:33,/StikemanElliott/status/879786798687424512,StikemanElliott,n
Achiru et al,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Three things I want to do <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mayorslunch?src=hash""><s>#</s><b>mayorslunch</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yyc?src=hash""><s>#</s><b>yyc</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ocayJWPsnT"">pic.twitter.com/ocayJWPsnT</a></p>",8.45E+17,11,1,4,Three things I want to do #mayorslunch #yyc #3thingsforcanada pic.twitter.com/ocayJWPsnT,2017-03-22T22:25:22,/Achiruetal/status/844676402330841088,Achiruetal,n
Volunteer Alberta,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Calgary & Edmonton are taking on the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Canada150?src=hash""><s>#</s><b>Canada150</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/XCs530a9Mdj"" dir=""ltr"" href=""https://t.co/ngjaJjdiSo"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/XCs530a9Mdj""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/XCs530a9Mdj</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> Check out <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""500222789"" dir=""ltr"" href=""/theECF""><s>@</s><b>theECF</b></a>'s video <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/y8sB30a9MbZ"" dir=""ltr"" href=""https://t.co/sAWhhF8Tno"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/y8sB30a9MbZ""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/y8sB30a9MbZ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",8.45E+17,3,0,3,Calgary & Edmonton are taking on the #Canada150 #3ThingsforCanada http://ow.ly/XCs530a9Mdj  Check out @theECF's video http://ow.ly/y8sB30a9MbZ ,2017-03-22T21:25:04,/VolunteerAB/status/844661228647714817,VolunteerAB,n
ACAD,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It was an honour to be hosting a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mayorslunch?src=hash""><s>#</s><b>mayorslunch</b></a> table again. Thx <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17469823"" dir=""ltr"" href=""/CalgaryArtsDev""><s>@</s><b>calgaryartsdev</b></a> for having us again! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yycart?src=hash""><s>#</s><b>yycart</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yycarts?src=hash""><s>#</s><b>yycarts</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yyc?src=hash""><s>#</s><b>yyc</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/LUesxDrdeF"">pic.twitter.com/LUesxDrdeF</a></p>",8.45E+17,6,0,1,It was an honour to be hosting a #mayorslunch table again. Thx @calgaryartsdev for having us again! #yycart #yycarts #yyc #3thingsforcanada pic.twitter.com/LUesxDrdeF,2017-03-22T21:05:32,/acad/status/844656311664992256,acad,n
Kasian,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Our <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yyc?src=hash""><s>#</s><b>yyc</b></a> team is feeling inspired at the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MayorsLunch?src=hash""><s>#</s><b>MayorsLunch</b></a> for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yycarts?src=hash""><s>#</s><b>yycarts</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17469823"" dir=""ltr"" href=""/CalgaryArtsDev""><s>@</s><b>CalgaryArtsDev</b></a>! What a great speech from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33798654"" dir=""ltr"" href=""/nenshi""><s>@</s><b>nenshi</b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsForCanada?src=hash""><s>#</s><b><strong>3ThingsForCanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CalgaryArtsDev/status/844594856932622339"" dir=""ltr"" href=""https://t.co/qz36hZ6hWK"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CalgaryArtsDev/status/844594856932622339""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CalgaryArtsDev</span><span class=""invisible"">/status/844594856932622339</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.45E+17,2,0,1,Our #yyc team is feeling inspired at the #MayorsLunch for #yycarts @CalgaryArtsDev! What a great speech from @nenshi. #3ThingsForCanada https://twitter.com/CalgaryArtsDev/status/844594856932622339 …,2017-03-22T20:49:55,/KasianDesign/status/844652382084481024,KasianDesign,n
Cheri Macaulay,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Always ready to give just a little bit more to support <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3ThingsforCanada?src=hash""><s>#</s><b><strong>3ThingsforCanada</strong></b></a>, that Chris and Gillian. Where would we be without <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""561736798"" dir=""ltr"" href=""/_goodcompany""><s>@</s><b>_goodcompany</b></a>?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/neclose/status/844623710468263936"" dir=""ltr"" href=""https://t.co/FL2eDeIJe1"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/neclose/status/844623710468263936""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/neclose/status</span><span class=""invisible"">/844623710468263936</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",8.45E+17,5,0,0,"Always ready to give just a little bit more to support #3ThingsforCanada, that Chris and Gillian. Where would we be without @_goodcompany?https://twitter.com/neclose/status/844623710468263936 …",2017-03-22T20:26:03,/cheriyyc/status/844646374461259776,cheriyyc,n
Trendsmap Calgary,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/3thingsforcanada?src=hash""><s>#</s><b><strong>3thingsforcanada</strong></b></a> is now trending in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Calgary?src=hash""><s>#</s><b>Calgary</b></a>\n<a class=""twitter-timeline-link"" data-expanded-url=""https://www.trendsmap.com/r/CA_CAL_iusudz"" dir=""ltr"" href=""https://t.co/k9cQRWCHiR"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.trendsmap.com/r/CA_CAL_iusudz""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">trendsmap.com/r/CA_CAL_iusudz</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qSd5oMReGZ"">pic.twitter.com/qSd5oMReGZ</a></p>",8.45E+17,2,0,0,#3thingsforcanada is now trending in #Calgary\nhttps://www.trendsmap.com/r/CA_CAL_iusudz pic.twitter.com/qSd5oMReGZ,2017-03-22T20:15:33,/TrendsCalgary/status/844643733530398720,TrendsCalgary,n
